,city,cloudiness perc,humidity perc,lat,lon,max temp,wind speed
0,kilindoni,12,99,-7.91,39.67,83.7,8.41
1,ushuaia,75,75,-54.81,-68.31,42.8,27.51
2,sawtell,40,88,-30.38,153.1,68.0,5.82
3,snezhnogorsk,75,85,69.19,33.23,19.4,6.71
4,yellowknife,75,72,62.45,-114.38,14.0,13.87
5,port elizabeth,90,33,39.31,-74.98,46.4,12.75
6,port alfred,92,84,-33.59,26.89,69.3,19.93
7,cherskiy,8,0,68.75,161.3,-34.47,2.37
8,klaksvik,76,64,62.23,-6.59,37.4,14.99
9,busselton,0,100,-33.64,115.35,57.78,7.18
10,luena,76,82,-11.78,19.91,72.72,2.59
11,saskylakh,24,39,71.97,114.09,-25.56,9.64
12,vaini,0,95,15.34,74.49,68.4,1.36
13,caranavi,92,94,-15.83,-67.57,67.77,1.92
14,morgantown,90,92,39.63,-79.96,39.2,4.7
15,rikitea,80,97,-23.12,-134.97,81.36,14.0
16,albany,20,40,42.65,-73.75,37.4,25.28
17,portland,90,87,45.52,-122.67,46.4,3.38
18,manali,0,32,32.25,77.19,-19.8,1.48
19,rajpipla,0,41,21.87,73.5,71.82,3.49
20,victoria,75,100,5.28,115.24,78.8,2.37
21,chinu,40,56,9.11,-75.4,93.2,5.17
22,punta arenas,75,66,-53.16,-70.91,53.6,27.51
23,menongue,64,85,-14.66,17.68,69.12,2.04
24,adrar,0,11,27.87,-0.29,66.2,5.82
25,hermanus,0,55,-34.42,19.24,66.78,7.63
26,dinguiraye,8,17,11.29,-10.71,96.93,9.31
27,komsomolskiy,80,68,67.55,63.78,-5.4,2.71
28,bredasdorp,0,68,-34.53,20.04,68.0,11.41
29,zaysan,92,97,47.47,84.87,25.56,3.38
30,the pas,90,55,53.82,-101.24,37.4,4.7
31,tiksi,20,0,71.64,128.87,-34.11,3.04
32,sinnamary,88,90,5.38,-52.96,81.0,11.99
33,east london,75,93,-33.02,27.91,64.4,11.41
34,nikolskoye,75,85,59.7,30.79,21.2,8.95
35,abaza,12,62,52.65,90.1,10.53,1.81
36,bluff,0,93,-23.58,149.07,68.4,2.59
37,lagoa,75,100,37.14,-8.45,59.0,33.33
38,severo-kurilsk,48,100,50.68,156.12,19.71,21.83
39,flinders,8,77,-34.58,150.85,62.6,1.12
40,abu kamal,0,36,34.45,40.92,58.05,7.52
41,sitka,32,44,37.17,-99.65,55.26,5.95
42,jamestown,44,72,-33.21,138.6,63.0,10.76
43,luancheng,90,100,37.88,114.65,35.6,3.94
44,astana,0,92,51.13,71.43,14.0,2.24
45,ostrovnoy,32,74,68.05,39.51,0.09,5.95
46,kavieng,20,100,-2.57,150.8,79.83,7.4
47,tasiilaq,75,63,65.61,-37.64,30.2,18.34
48,butaritari,32,100,3.07,172.79,81.54,3.04
49,anloga,20,83,5.79,0.9,84.2,12.75
50,cayenne,75,69,4.94,-52.33,82.4,10.29
51,meulaboh,48,100,4.14,96.13,80.19,4.38
52,lethem,88,37,3.38,-59.8,94.05,13.78
53,kodiak,90,80,39.95,-94.76,39.2,11.41
54,lop buri,0,73,14.8,100.65,77.58,8.19
55,avarua,75,88,-21.21,-159.78,78.8,1.12
56,chokurdakh,0,0,70.62,147.9,-36.72,4.72
57,puerto ayora,20,66,-0.74,-90.35,86.0,14.99
58,panguna,76,94,-6.32,155.48,72.09,3.38
59,longyearbyen,40,86,78.22,15.63,26.6,31.09
60,ponta do sol,24,81,-20.63,-46.0,83.7,4.38
61,boquira,24,67,-12.82,-42.73,86.22,4.38
62,hirara,44,100,24.8,125.28,71.55,11.21
63,new norfolk,90,53,-42.78,147.06,71.6,19.46
64,lebu,20,83,8.96,38.73,53.55,3.71
65,vao,44,78,59.1,26.19,20.7,9.86
66,ipixuna,20,74,-1.76,-48.8,82.4,10.29
67,hilo,90,73,19.71,-155.08,75.2,5.82
68,salalah,20,69,17.01,54.1,78.8,2.24
69,constitucion,20,12,23.99,-104.67,73.4,14.99
70,namatanai,68,100,-3.66,152.44,78.66,9.86
71,hobart,90,53,-42.88,147.33,71.6,19.46
72,saint-philippe,1,31,45.36,-73.48,17.6,8.05
73,faanui,76,100,-16.48,-151.75,80.1,8.41
74,esperance,40,45,10.24,-61.45,87.8,14.99
75,cape town,0,60,-33.93,18.42,68.0,6.93
76,thai binh,88,92,20.45,106.33,73.08,12.44
77,sabang,20,93,13.72,123.58,77.58,12.1
78,pontianak,44,98,-0.02,109.34,77.49,0.92
79,te anau,48,83,-45.41,167.72,38.25,3.71
80,hobyo,20,86,5.35,48.53,78.93,11.43
81,shache,0,69,38.42,77.24,37.71,2.71
82,kaitangata,36,77,-46.28,169.85,39.69,3.6
83,hasaki,75,86,35.73,140.83,37.4,2.24
84,kirakira,88,100,-10.46,161.92,80.46,11.54
85,providencia,75,77,1.24,-77.6,66.2,3.36
86,sekoma,76,90,-24.51,23.93,67.14,10.98
87,college,75,86,64.86,-147.8,26.6,3.15
88,arraial do cabo,40,89,-22.97,-42.02,84.2,4.7
89,bethel,90,92,60.79,-161.76,30.2,8.05
90,kapaa,40,88,22.08,-159.32,77.0,10.29
91,riyadh,0,20,24.63,46.72,73.4,9.17
92,cervo,24,100,-22.19,-46.24,75.06,1.7
93,sao jose da coroa grande,12,82,-8.9,-35.15,83.16,7.63
